ID,COUNT AREA,MONTH,DAY,YEAR,START TIME,END TIME,OBSERVERS,AWPE,GBHE,GREG,SNEG,BCNH,WTKI,NOHA,RTHA,RSHA,RLHA,SSHA,COHA,AMKE,MERL,PEFA,BBPL,PAGP,AMGP,LEGP,SNPL,SEPL,KILL,BLOY,AMAV,GRYE,LEYE,YELL,WILL,WATA,SPSA,WHIM,LBCU,MAGO,RUTU,BLTU,SURF,REKN,SAND,WESA,LESA,LWSA,BASA,DUNL,PEEP,SBDO,LBDO,DOSP,COSN,RNPH,REPH,PHAL,FEHA,OSPR,NOTES & OTHER SPECIES,PROOFED,ENTERED BY,WIPH,BAEA,SSCOHA,GOEA,SEOW,GRHE,AMBI,PESA,SESA,RUFF
1,BIV,11,21,1989,1545,1700,"T.NORDBY, S.ALLEN",6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,8,24,0,0,0,0,0,32,0,0,0,0,2,0,0,0,0,104,0,60,967,0,1933,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
2,BRB,11,21,1989,1545,1700,"J.MCDONAGH, G.BISHOP",0,3,1,2,0,0,0,2,0,0,0,0,0,0,0,48,8,0,0,0,37,24,0,0,0,0,0,155,0,0,0,0,359,6,5,0,0,62,63,45,0,0,0,0,0,17,0,0,0,0,0,0,0,,,,,,,,,,,,,
3,CGP,11,21,1989,1545,1700,"E.SABINE, J.TEMKO",0,2,0,0,6,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,1,27,0,0,0,0,0,6,0,1,0,0,1,1,22,0,0,24,0,0,0,0,58,31,0,0,10,0,0,0,0,0,0,,,,,,,,,,,,,
4,INV,11,21,1989,1623,1648,L.BARNES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,0,0,0,0,0,10,0,0,0,0,8,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
5,MMG,11,21,1989,1545,1700,"B.BULLICH, F.GUEST",0,1,1,2,0,0,0,1,0,0,0,0,0,0,1,25,0,0,0,0,9,20,0,0,2,0,0,72,0,0,0,0,11,0,0,0,0,0,0,94,520,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
6,TPT,11,21,1989,1545,1700,"G.FLETCHER, A.SPENSER",1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,357,0,0,0,0,63,0,257,0,0,291,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
7,WCD,11,21,1989,1545,1700,J.MUELLER,12,2,0,2,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,7,0,0,0,0,0,15,0,0,0,0,200,0,10,0,0,2,120,62,0,0,1195,100,0,0,20,0,0,0,0,0,0,,,,,,,,,,,,,
8,WHG,11,21,1989,1545,1555,L.BARNES,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,1,0,9,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
9,WPT,11,21,1989,1545,1700,"J.KELLY, B.BAEZ",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,2,0,0,2,0,0,70,0,0,0,0,27,0,0,0,0,90,20,1100,800,0,4000,0,0,0,45,0,0,0,0,0,0,,,,,,,,,,,,,
10,BIV,12,7,1989,1530,1630,"D.WILLIAMS, E.SABINE",0,2,2,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,18,0,0,0,0,0,0,290,0,0,62,65,0,0,0,3,0,0,0,0,0,,,,,,,,,,,,,
